,names,names_country,split
0,Abl,Czech,valid
1,Adsit,Czech,test
2,Ajdrna,Czech,train
3,Alt,Czech,train
4,Antonowitsch,Czech,valid
5,Antonowitz,Czech,train
6,Bacon,Czech,train
7,Ballalatak,Czech,test
8,Ballaltick,Czech,valid
9,Bartonova,Czech,train
10,Bastl,Czech,train
11,Baroch,Czech,train
12,Benesch,Czech,test
13,Betlach,Czech,train
14,Biganska,Czech,valid
15,Bilek,Czech,valid
16,Blahut,Czech,valid
17,Blazek,Czech,train
18,Blazek,Czech,train
19,Blazejovsky,Czech,train
20,Blecha,Czech,train
21,Bleskan,Czech,train
22,Blober,Czech,train
23,Bock,Czech,train
24,Bohac,Czech,valid
25,Bohunovsky,Czech,train
26,Bolcar,Czech,train
27,Borovka,Czech,train
28,Borovski,Czech,train
29,Borowski,Czech,train
30,Borovsky,Czech,train
31,Brabbery,Czech,train
32,Brezovjak,Czech,test
33,Brousil,Czech,train
34,Bruckner,Czech,train
35,Buchta,Czech,train
36,Cablikova,Czech,train
37,Camfrlova,Czech,valid
38,Cap,Czech,train
39,Cerda,Czech,test
40,Cermak,Czech,train
41,Chermak,Czech,train
42,Cermak,Czech,train
43,Cernochova,Czech,train
44,Cernohous,Czech,train
45,Cerny,Czech,train
46,Cerney,Czech,train
47,Cerny,Czech,valid
48,Cerv,Czech,valid
49,Cervenka,Czech,train
50,Chalupka,Czech,train
51,Charlott,Czech,train
52,Chemlik,Czech,train
53,Chicken,Czech,train
54,Chilar,Czech,valid
55,Chromy,Czech,train
56,Cihak,Czech,train
57,Clineburg,Czech,train
58,Klineberg,Czech,train
59,Cober,Czech,train
60,Colling,Czech,train
61,Cvacek,Czech,train
62,Czabal,Czech,train
63,Damell,Czech,test
64,Demall,Czech,train
65,Dehmel,Czech,train
66,Dana,Czech,test
67,Dejmal,Czech,test
68,Dempko,Czech,train
69,Demko,Czech,train
70,Dinko,Czech,train
71,Divoky,Czech,train
72,Dolejsi,Czech,train
73,Dolezal,Czech,train
74,Doljs,Czech,train
75,Dopita,Czech,train
76,Drassal,Czech,train
77,Driml,Czech,train
78,Duyava,Czech,test
79,Dvorak,Czech,test
80,Dziadik,Czech,train
81,Egr,Czech,train
82,Entler,Czech,valid
83,Faltysek,Czech,train
84,Faltejsek,Czech,train
85,Fencl,Czech,train
86,Fenyo,Czech,train
87,Fillipova,Czech,train
88,Finfera,Czech,train
89,Finferovy,Czech,train
90,Finke,Czech,train
91,Fojtikova,Czech,train
92,Fremut,Czech,train
93,Friedrich,Czech,train
94,Frierdich,Czech,train
95,Fritsch,Czech,valid
96,Furtsch,Czech,test
97,Gabrisova,Czech,train
98,Gavalok,Czech,train
99,Geier,Czech,valid
100,Georgijev,Czech,train
101,Geryk,Czech,valid
102,Giersig,Czech,train
103,Glatter,Czech,train
104,Glockl,Czech,test
105,Grabski,Czech,train
106,Grozmanova,Czech,train
107,Grulich,Czech,test
108,Grygarova,Czech,train
109,Hadash,Czech,train
110,Hafernik,Czech,train
111,Hajek,Czech,valid
112,Hajicek,Czech,train
113,Hajkova,Czech,train
114,Hana,Czech,train
115,Hanek,Czech,train
116,Hanek,Czech,valid
117,Hanika,Czech,train
118,Hanusch,Czech,train
119,Hanzlick,Czech,train
120,Handzlik,Czech,train
121,Hanzlik,Czech,train
122,Harger,Czech,train
123,Hartl,Czech,valid
124,Havlatova,Czech,train
125,Havlice,Czech,valid
126,Hawlata,Czech,train
127,Heidl,Czech,valid
128,Herback,Czech,train
129,Herodes,Czech,train
130,Hiorvst,Czech,test
131,Hladky,Czech,train
132,Hlavsa,Czech,valid
133,Hnizdil,Czech,train
134,Hodowal,Czech,test
135,Hodoval,Czech,train
136,Holan,Czech,valid
137,Holub,Czech,train
138,Homulka,Czech,test
139,Hora,Czech,train
140,Hovanec,Czech,valid
141,Hrabak,Czech,test
142,Hradek,Czech,train
143,Hrdy,Czech,train
144,Hrula,Czech,test
145,Hruska,Czech,train
146,Hruskova,Czech,test
147,Hudecek,Czech,train
148,Husk,Czech,train
149,Hynna,Czech,train
150,Jaluvka,Czech,valid
151,Janca,Czech,valid
152,Janicek,Czech,train
153,Jenicek,Czech,test
154,Janacek,Czech,train
155,Janick,Czech,train
156,Janoch,Czech,train
157,Janosik,Czech,test
158,Janutka,Czech,test
159,Jares,Czech,train
160,Jarzembowski,Czech,train
161,Jedlicka,Czech,train
162,Jelinek,Czech,train
163,Jindra,Czech,train
164,Jirava,Czech,train
165,Jirik,Czech,train
166,Jirku,Czech,test
167,Jirovy,Czech,train
168,Jobst,Czech,train
169,Jonas,Czech,train
170,Kacirek,Czech,train
171,Kafka,Czech,train
172,Kafka,Czech,train
173,Kaiser,Czech,train
174,Kanak,Czech,train
175,Kaplanek,Czech,train
176,Kara,Czech,valid
177,Karlovsky,Czech,train
178,Kasa,Czech,valid
179,Kasimor,Czech,train
180,Kazimor,Czech,train
181,Kazmier,Czech,train
182,Katschker,Czech,train
183,Kauphsman,Czech,test
184,Kenzel,Czech,train
185,Kerner,Czech,train
186,Kesl,Czech,train
187,Kessel,Czech,train
188,Kessler,Czech,train
189,Khork,Czech,test
190,Kirchma,Czech,train
191,Klein,Czech,test
192,Klemper,Czech,train
193,Klimes,Czech,train
194,Kober,Czech,test
195,Koberna,Czech,train
196,Koci,Czech,train
197,Kocian,Czech,test
198,Kocian,Czech,valid
199,Kofron,Czech,train
200,Kolacny,Czech,valid
201,Koliha,Czech,train
202,Kolman,Czech,valid
203,Koma,Czech,test
204,Komo,Czech,train
205,Coma,Czech,train
206,Konarik,Czech,train
207,Kopp,Czech,train
208,Kopecky,Czech,train
209,Korandak,Czech,train
210,Korycan,Czech,test
211,Korycansky,Czech,train
212,Kosko,Czech,train
213,Kouba,Czech,train
214,Kouba,Czech,train
215,Koukal,Czech,train
216,Koza,Czech,train
217,Kozumplikova,Czech,train
218,Kratschmar,Czech,train
219,Krawiec,Czech,train
220,Kreisinger,Czech,valid
221,Kremlacek,Czech,valid
222,Kremlicka,Czech,train
223,Kreutschmer,Czech,valid
224,Krhovsky,Czech,train
225,Krivan,Czech,train
226,Krivolavy,Czech,test
227,Kriz,Czech,train
228,Kruessel,Czech,test
229,Krupala,Czech,train
230,Krytinar,Czech,test
231,Kubin,Czech,train
232,Kucera,Czech,train
233,Kucharova,Czech,test
234,Kudrna,Czech,train
235,Kuffel,Czech,valid
236,Kupfel,Czech,train
237,Kofel,Czech,train
238,Kulhanek,Czech,train
239,Kunik,Czech,train
240,Kurtz,Czech,train
241,Kusak,Czech,test
242,Kvasnicka,Czech,train
243,Lawa,Czech,train
244,Linart,Czech,train
245,Lind,Czech,train
246,Lokay,Czech,train
247,Loskot,Czech,train
248,Ludwig,Czech,train
249,Lynsmeier,Czech,train
250,Macha,Czech,test
251,Machacek,Czech,valid
252,Macikova,Czech,train
253,Malafa,Czech,train
254,Malec,Czech,train
255,Malecha,Czech,train
256,Maly,Czech,train
257,Marek,Czech,test
258,Marik,Czech,train
259,Marik,Czech,test
260,Markytan,Czech,train
261,Matejka,Czech,valid
262,Matjeka,Czech,test
263,Matocha,Czech,valid
264,MaxaB,Czech,train
265,Mayer,Czech,train
266,Meier,Czech,train
267,Merta,Czech,test
268,Meszes,Czech,test
269,Metjeka,Czech,train
270,Michalovic,Czech,train
271,Michalovicova,Czech,train
272,Miksatkova,Czech,train
273,Mojzis,Czech,train
274,Mojjis,Czech,train
275,Mozzis,Czech,test
276,Molcan,Czech,train
277,Monfort,Czech,valid
278,MonkoAustria,Czech,train
279,Morava,Czech,train
280,Morek,Czech,train
281,Muchalon,Czech,test
282,Mudra,Czech,valid
283,Muhlbauer,Czech,train
284,Nadvornizch,Czech,train
285,Nadwornik,Czech,train
286,Navara,Czech,train
287,Navratil,Czech,valid
288,Navratil,Czech,train
289,Navrkal,Czech,valid
290,Nekuza,Czech,valid
291,Nemec,Czech,train
292,Nemecek,Czech,train
293,Nestrojil,Czech,test
294,Netsch,Czech,train
295,Neusser,Czech,valid
296,Neisser,Czech,test
